"Day: ","Animal Count: ","Grass Count: ","Avg Energy: ","Empty Tiles: ","Avg Life:"
"226","70","49","34","514","21"
"227","74","47","32","517","21"
"228","74","45","32","515","21"
"229","73","47","32","507","21"
"230","70","45","33","516","23"
"231","71","42","33","516","23"
"232","72","40","33","519","23"
"233","73","41","32","514","23"
"234","71","43","32","514","23"
"235","69","46","32","512","23"
"236","68","47","32","513","23"
"237","68","47","32","510","23"
"238","67","43","33","516","23"
"239","67","47","32","517","23"
"240","65","46","33","517","24"
"241","65","48","32","517","24"
"242","64","49","32","518","24"
"243","65","51","31","514","24"
"244","64","52","31","512","24"
"245","63","53","31","512","25"
"246","62","52","32","514","24"
"247","61","55","32","511","24"
"248","60","56","32","516","24"
"249","60","57","32","510","24"
"250","59","56","32","514","24"
"251","57","57","33","512","23"
"252","57","58","33","511","23"
"253","57","56","33","514","23"
"254","57","59","32","510","23"
"255","57","60","32","510","23"
"256","57","61","32","507","23"
"257","54","61","33","511","23"
"258","53","59","34","514","23"
"259","53","57","35","515","23"
"260","52","53","36","520","23"
"261","54","52","35","524","23"
"262","53","50","36","523","23"
"263","53","53","35","523","23"
"264","54","55","34","519","23"
"265","51","55","36","522","24"
"266","50","57","36","524","24"
"267","48","61","37","518","24"
"268","48","62","37","517","24"
"269","48","64","36","515","24"
"270","48","63","37","515","24"
"271","49","66","35","514","24"
"272","48","66","36","514","24"
"273","49","66","35","513","24"
"274","49","66","35","511","24"
"275","49","66","35","511","24"
"276","48","63","37","515","24"
"277","45","62","39","520","24"
"278","43","62","41","521","24"
"279","42","66","42","518","24"
"280","41","69","42","518","24"
"281","41","67","43","518","24"
"282","41","69","43","517","24"
"283","42","72","41","513","24"
"284","41","72","42","512","24"
"285","42","73","41","512","24"
"286","41","73","42","511","24"
"287","40","75","43","512","24"
"288","41","75","42","512","24"
"289","42","79","41","507","24"
"290","42","81","40","503","24"
"291","42","81","41","506","24"
"292","42","81","41","503","24"
"293","43","80","40","506","24"
"294","43","82","40","502","24"
"295","43","80","41","505","25"
"296","43","78","41","508","25"
"297","44","74","41","510","25"
"298","44","78","41","506","25"
"299","44","78","41","503","25"
"300","45","75","41","509","26"
"301","46","78","39","503","26"
"302","48","75","38","506","26"
"303","50","72","37","508","26"
"304","49","65","39","514","26"
"305","49","64","40","513","26"
